embed,image,paragraph,table,text
bge-m3,0.3573,0.6214,0.4553,0.7463
gemma-embed-300m,0.4035,0.7349,0.6357,0.7963
granite-107m,0.2234,0.5708,0.313,0.6426
granite-278m,0.2778,0.6905,0.5363,0.7241
harrier-0.6b,0.2576,0.6152,0.4147,0.6359
harrier-270m,0.3012,0.6887,0.3647,0.6304
harrier-27b,0.0035,0.0051,0.0,0.0
jina-code-1.5b,0.1336,0.3891,0.2063,0.4378
jina-v4-code,0.252,0.6187,0.4707,0.6885
jina-v4-retrieval,0.3287,0.7178,0.6717,0.7704
jina-v5-nano-matching,0.0576,0.2184,0.08,0.2456
jina-v5-small-retrieval,0.2485,0.4298,0.3997,0.3304
kure-v1,0.3471,0.7191,0.5457,0.837
labse,0.0088,0.0579,0.024,0.0693
me5-large-instruct,0.3105,0.624,0.5923,0.7581
nemotron-embed-8b,0.1784,0.5486,0.3347,0.6163
nomic-embed-v2-moe,0.3573,0.7161,0.618,0.7859
qwen3-embed-0.6b,0.2851,0.669,0.4207,0.6333
qwen3-embed-4b,0.3164,0.6672,0.5047,0.7174
qwen3-embed-8b,0.236,0.6544,0.358,0.6389
snowflake-arctic-l-v2,0.3418,0.728,0.5363,0.85
