embed,page_hit@1,page_hit@5,file_hit@1,file_hit@5,total
gemma-embed-300m,0.5833,0.7933,0.85,0.92,300
jina-v4-retrieval,0.5533,0.79,0.82,0.9167,300
nomic-embed-v2-moe,0.57,0.7533,0.8433,0.9,300
kure-v1,0.56,0.75,0.87,0.91,300
snowflake-arctic-l-v2,0.5867,0.7333,0.85,0.8967,300
qwen3-embed-4b,0.49,0.7267,0.8033,0.9033,300
granite-278m,0.5033,0.7233,0.7867,0.8733,300
me5-large-instruct,0.5,0.71,0.8133,0.91,300
jina-v4-code,0.4367,0.69,0.7733,0.8833,300
bge-m3,0.4867,0.6833,0.8267,0.8967,300
harrier-270m,0.47,0.6733,0.7867,0.8833,300
harrier-0.6b,0.4167,0.6667,0.76,0.87,300
qwen3-embed-0.6b,0.47,0.6667,0.7833,0.8733,300
qwen3-embed-8b,0.45,0.65,0.8,0.8667,300
granite-107m,0.3833,0.61,0.7,0.8267,300
nemotron-embed-8b,0.36,0.6033,0.7033,0.88,300
jina-v5-small-retrieval,0.31,0.48,0.6167,0.7467,300
jina-code-1.5b,0.2267,0.47,0.5867,0.8233,300
jina-v5-nano-matching,0.1267,0.25,0.4,0.6133,300
labse,0.0267,0.08,0.1067,0.27,300
harrier-27b,0.0,0.01,0.0267,0.1133,300
