,bge-m3,gemma-embed-300m,granite-107m,granite-278m,harrier-0.6b,harrier-270m,harrier-27b,jina-code-1.5b,jina-v4-code,jina-v4-retrieval,jina-v5-nano-matching,jina-v5-small-retrieval,kure-v1,labse,me5-large-instruct,nemotron-embed-8b,nomic-embed-v2-moe,qwen3-embed-0.6b,qwen3-embed-4b,qwen3-embed-8b,snowflake-arctic-l-v2
bge-m3,1.0,0.394,0.276,0.3521,0.3597,0.3156,0.0079,0.2267,0.3534,0.3906,0.1034,0.2569,0.571,0.0325,0.3531,0.281,0.3905,0.3439,0.3731,0.3393,0.4329
gemma-embed-300m,0.394,1.0,0.2837,0.3805,0.3957,0.3352,0.0048,0.2323,0.4054,0.476,0.1076,0.2651,0.4356,0.0297,0.4,0.2762,0.4457,0.3835,0.4301,0.3747,0.4472
granite-107m,0.276,0.2837,1.0,0.3571,0.2803,0.2756,0.0077,0.1943,0.2647,0.2738,0.0898,0.1924,0.2953,0.036,0.2486,0.2228,0.3101,0.2762,0.2777,0.2796,0.3244
granite-278m,0.3521,0.3805,0.3571,1.0,0.3557,0.3104,0.0066,0.2336,0.3449,0.3978,0.1056,0.2465,0.3729,0.0272,0.3312,0.2704,0.4203,0.3522,0.3678,0.3345,0.4079
harrier-0.6b,0.3597,0.3957,0.2803,0.3557,1.0,0.4128,0.0049,0.2818,0.3656,0.3998,0.117,0.2708,0.3922,0.0255,0.3509,0.3145,0.4178,0.5091,0.4848,0.4741,0.4034
harrier-270m,0.3156,0.3352,0.2756,0.3104,0.4128,1.0,0.0054,0.2529,0.3364,0.3287,0.1099,0.2297,0.3573,0.0315,0.2825,0.2883,0.3691,0.3967,0.3883,0.3962,0.3815
harrier-27b,0.0079,0.0048,0.0077,0.0066,0.0049,0.0054,1.0,0.0056,0.0076,0.0042,0.0089,0.0047,0.0066,0.0302,0.0069,0.011,0.0071,0.0054,0.0055,0.0067,0.0072
jina-code-1.5b,0.2267,0.2323,0.1943,0.2336,0.2818,0.2529,0.0056,1.0,0.2576,0.2388,0.0781,0.1907,0.24,0.0317,0.216,0.2766,0.2426,0.2863,0.2719,0.2734,0.2384
jina-v4-code,0.3534,0.4054,0.2647,0.3449,0.3656,0.3364,0.0076,0.2576,1.0,0.4986,0.106,0.2458,0.3626,0.0286,0.3747,0.299,0.4174,0.3905,0.4184,0.3911,0.3882
jina-v4-retrieval,0.3906,0.476,0.2738,0.3978,0.3998,0.3287,0.0042,0.2388,0.4986,1.0,0.1035,0.2818,0.4117,0.027,0.4281,0.3003,0.4592,0.4052,0.4481,0.3883,0.442
jina-v5-nano-matching,0.1034,0.1076,0.0898,0.1056,0.117,0.1099,0.0089,0.0781,0.106,0.1035,1.0,0.0817,0.1083,0.0185,0.1116,0.0998,0.114,0.1105,0.1209,0.1113,0.1157
jina-v5-small-retrieval,0.2569,0.2651,0.1924,0.2465,0.2708,0.2297,0.0047,0.1907,0.2458,0.2818,0.0817,1.0,0.2726,0.0259,0.2386,0.2308,0.2693,0.2774,0.293,0.2687,0.2837
kure-v1,0.571,0.4356,0.2953,0.3729,0.3922,0.3573,0.0066,0.24,0.3626,0.4117,0.1083,0.2726,1.0,0.0388,0.3488,0.2755,0.4197,0.3824,0.423,0.382,0.4897
labse,0.0325,0.0297,0.036,0.0272,0.0255,0.0315,0.0302,0.0317,0.0286,0.027,0.0185,0.0259,0.0388,1.0,0.027,0.0301,0.0296,0.0281,0.0286,0.028,0.0396
me5-large-instruct,0.3531,0.4,0.2486,0.3312,0.3509,0.2825,0.0069,0.216,0.3747,0.4281,0.1116,0.2386,0.3488,0.027,1.0,0.3162,0.4172,0.3308,0.3622,0.3164,0.3871
nemotron-embed-8b,0.281,0.2762,0.2228,0.2704,0.3145,0.2883,0.011,0.2766,0.299,0.3003,0.0998,0.2308,0.2755,0.0301,0.3162,1.0,0.3003,0.3163,0.3287,0.311,0.2977
nomic-embed-v2-moe,0.3905,0.4457,0.3101,0.4203,0.4178,0.3691,0.0071,0.2426,0.4174,0.4592,0.114,0.2693,0.4197,0.0296,0.4172,0.3003,1.0,0.4028,0.4342,0.4086,0.4704
qwen3-embed-0.6b,0.3439,0.3835,0.2762,0.3522,0.5091,0.3967,0.0054,0.2863,0.3905,0.4052,0.1105,0.2774,0.3824,0.0281,0.3308,0.3163,0.4028,1.0,0.529,0.5053,0.3975
qwen3-embed-4b,0.3731,0.4301,0.2777,0.3678,0.4848,0.3883,0.0055,0.2719,0.4184,0.4481,0.1209,0.293,0.423,0.0286,0.3622,0.3287,0.4342,0.529,1.0,0.5653,0.4242
qwen3-embed-8b,0.3393,0.3747,0.2796,0.3345,0.4741,0.3962,0.0067,0.2734,0.3911,0.3883,0.1113,0.2687,0.382,0.028,0.3164,0.311,0.4086,0.5053,0.5653,1.0,0.4036
snowflake-arctic-l-v2,0.4329,0.4472,0.3244,0.4079,0.4034,0.3815,0.0072,0.2384,0.3882,0.442,0.1157,0.2837,0.4897,0.0396,0.3871,0.2977,0.4704,0.3975,0.4242,0.4036,1.0
